"","Country Name","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
"1","Argentina","13133400","13330119","13533177","13742178","13956328","14174764","14378400","14588248","14805863","15032247","15267473","15503981","15750569","16000445","16243421","16471550","16649499","16803924","16946862","17099077","17274518","17435834","17650941","17899587","18152287","18395236","18673362","18921489","19163296","19433701","19746934","20039025","20377820","20744995","21110290","21458405","21777285","22087832","22392455","22699592","23014007","23341581","23663780","23985753","24314082","24650249","24960036","25288050","25624337","25953592","26268474","26575746","26869103","27153851","27440753","27734296","28009966",".."
"2","Bolivia","1960654","1995209","2029590","2065490","2106379","2153990","2195750","2244989","2299938","2357816","2417140","2468569","2523122","2580321","2640149","2702729","2758540","2817217","2878651","2943101","3010840","3071709","3136910","3205394","3276058","3348628","3417772","3489528","3564060","3641830","3723276","3807244","3895440","3987824","4084339","4184812","4284809","4389473","4497778","4608740","4721818","4831106","4943791","5058698","5174600","5291042","5406971","5523347","5641218","5762395","5887749","6015119","6147512","6282974","6418360","6551647","6683948",".."
"3","Brazil","38781126","39779298","40831604","41952807","43165457","44479443","45732974","47136633","48651010","50220189","51818270","53423740","55053703","56730737","58489688","60341850","62181348","64089561","66061580","68084775","70145391","72078671","74083876","76126978","78179014","80231574","82173117","84165242","86197194","88259981","90354814","92504647","94637067","96804022","99067514","101447505","103792330","106226861","108711345","111185470","113611797","115838942","118076415","120293448","122462351","124574843","126693491","128718032","130677686","132613519","134537486","136396096","138204657","139955289","141628142","143204007","144560447",".."
"4","Chile","4312995","4397218","4479710","4564432","4658075","4763684","4870649","4989242","5116919","5249534","5384839","5512694","5646677","5785486","5927858","6073359","6222231","6370910","6521485","6676630","6837025","6996849","7160024","7325724","7491931","7657037","7816040","7975551","8133884","8290368","8445091","8591056","8740356","8891298","9042197","9192901","9349814","9503333","9657261","9816782","9983788","10152943","10328865","10508299","10685014","10854763","11016636","11171640","11320225","11464745","11606107","11735565","11865398","11991297","12107339","12210505","12304561",".."
"5","Colombia","8303752","8521232","8750443","8995383","9261083","9549258","9833538","10144797","10476599","10822357","11179897","11525714","11896991","12289820","12696760","13114134","13571330","14013735","14458293","14929949","15437742","15915060","16441782","16993473","17533514","18044256","18531679","18997504","19450332","19909162","20385155","20877764","21375358","21882870","22404913","22943126","23475925","24033711","24607629","25181950","25747708","26323556","26878040","27419620","27964027","28517252","29037294","29574386","30112596","30627619","31107079","31567145","31989069","32380427","32755499","33120684","33463378",".."
"6","Ecuador","2359115","2416345","2471947","2529318","2594223","2669446","2745052","2831095","2925760","3025727","3129085","3227688","3332256","3441824","3555918","3674463","3790267","3911295","4037718","4170009","4308379","4446329","4590095","4739520","4894247","5053739","5210502","5372215","5538051","5707301","5879528","6046946","6218894","6393886","6570232","6747083","6918711","7089865","7261356","7434788","7610812","7779642","7952222","8128157","8305771","8484199","8674437","8862504","9050110","9240209","9433501","9621695","9815093","10009231","10197616","10377038","10550807",".."
"7","Guyana","286134","292172","298403","304787","311337","318156","324766","330961","336815","342551","348353","357189","365679","373519","380618","387202","394474","401341","407926","414225","420174","426246","430563","432952","434264","435722","437936","440436","442687","444259","445348","447535","450226","452915","455306","457107","457914","457890","456628","453982","450508","449518","448131","446982","446821","447893","451478","455523","459989","464427","468603","474923","481331","487788","494272","500625","505827",".."
"8","Paraguay","930417","957027","983045","1009147","1036472","1065713","1099417","1135012","1171829","1209092","1246650","1287108","1328987","1371822","1414944","1458253","1508320","1556572","1604524","1654449","1707382","1761765","1820419","1881642","1942903","2003017","2061459","2120354","2179797","2240493","2303032","2365577","2429561","2495877","2565509","2638872","2713718","2791494","2872018","2955070","3040396","3123292","3210236","3299145","3386673","3470882","3552781","3627721","3698916","3771419","3847701","3922697","4003236","4085989","4165479","4238794","4309857",".."
"9","Peru","5323598","5445447","5575316","5714758","5867006","6033487","6188370","6362277","6551205","6750021","6956394","7153331","7361193","7580490","7812458","8057544","8297519","8548582","8811765","9089698","9383337","9660040","9961415","10279835","10603703","10927030","11250336","11566015","11880988","12207606","12551053","12873533","13216662","13570738","13920633","14258307","14568203","14867274","15159015","15450396","15746119","16050802","16354779","16662490","16976600","17296056","17612458","17938151","18269922","18601540","18928391","19248172","19562663","19871818","20178212","20482450","20768436",".."
"10","Suriname","139977","143082","146461","150124","154115","158471","161980","166106","170443","174460","177766","179318","179394","178484","177301","176475","181014","186157","191889","197768","203273","208323","212316","215756","219395","223668","227521","232932","239139","245118","250288","255091","259105","262583","266066","269860","274315","278930","283729","288654","293653","297789","302047","306401","310875","315522","320610","325917","331394","336930","342419","347586","352673","357657","362505","367212","371347",".."
"11","Uruguay","1624225","1641318","1659102","1677142","1694887","1712099","1726704","1741479","1755360","1766969","1775637","1778759","1776890","1773090","1771129","1772958","1776761","1786105","1798830","1811932","1823742","1834042","1844287","1854257","1864044","1873820","1887378","1899000","1910450","1923601","1939033","1951474","1967103","1984434","2001360","2016819","2029540","2041740","2052819","2062555","2070861","2074959","2076482","2077290","2079615","2084742","2092675","2103815","2117206","2131156","2144437","2156178","2167788","2179148","2190338","2201356","2211820",".."
"12","Venezuela, RB","4227821","4368598","4515358","4668398","4829153","4998719","5157806","5334168","5523396","5720142","5922931","6137625","6356688","6584883","6828328","7089172","7364896","7650548","7946101","8250419","8561451","8854481","9162564","9478131","9790797","10095895","10400818","10695607","10986456","11285627","11599711","11905242","12231601","12573069","12919601","13266614","13620673","13970919","14322850","14685070","15060763","15434682","15819522","16211024","16601625","16986492","17358472","17727023","18090057","18446608","18796235","19133607","19463631","19787207","20106367","20422290","20731567",".."
